title,url
Introducing product recommendations,https://blog.mailchimp.com/introducing-product-recommendations/
MailChimp's most popular subject line emojis,http://blog.mailchimp.com/mailchimps-most-popular-subject-line-emojis/
Subject line data: choose your words wisely,https://blog.mailchimp.com/subject-line-data-choose-your-words-wisely/
